District Name,County,Student Enrollment,White Students,White Teachers,District On-Time Graduation,Administrators,Teacher Experience,Counselors/Psychologists,Licensed Librarians,Teachers,Black/African American On-Time Graduation,Hispanic/Latino On-Time Graduation,White On-Time Graduation,Economically Disadvantaged On-Time Graduation,Students with Disabilities On-Time Graduation,librarian_student_ratio,counselor_student_ratio,teacher_student_ratio,administrator_student_ratio,Students_of_Color,Teachers_of_Color
Central Linn SD 552,Linn,642,82,94,74.0,3,74,1,0,41,,,75.0,62.0,42.0,0.0,0.001557632398753894,0.06386292834890965,0.004672897196261682,18,6
Jordan Valley SD 3,Malheur,59,97,100,,1,67,0,0,9,,,,,,0.0,0.0,0.15254237288135594,0.01694915254237288,3,0
Ontario SD 8C,Malheur,2406,33,87,86.0,15,70,8,0,132,,87.0,83.0,86.0,80.0,0.0,0.0033250207813798837,0.05486284289276808,0.006234413965087282,67,13
Juntura SD 12,Malheur,2,100,100,,0,0,0,0,1,,,,,,0.0,0.0,0.5,0.0,0,0
Nyssa SD 26,Malheur,1212,32,80,79.0,7,86,2,0,73,,75.0,89.0,79.0,92.0,0.0,0.0016501650165016502,0.06023102310231023,0.005775577557755775,68,20
Annex SD 29,Malheur,94,69,100,,1,100,0,0,8,,,,,,0.0,0.0,0.0851063829787234,0.010638297872340425,31,0
Adrian SD 61,Malheur,292,78,100,93.0,2,93,0,1,14,,,90.0,,,0.003424657534246575,0.0,0.04794520547945205,0.00684931506849315,22,0
Harper SD 66,Malheur,115,79,92,95.0,1,100,0,0,10,,,95.0,95.0,,0.0,0.0,0.08695652173913043,0.008695652173913044,21,8
Arock SD 81,Malheur,17,88,100,,0,67,0,0,3,,,,,,0.0,0.0,0.17647058823529413,0.0,12,0
Vale SD 84,Malheur,906,75,100,88.0,4,85,2,0,58,,94.0,85.0,91.0,,0.0,0.002207505518763797,0.0640176600441501,0.004415011037527594,25,0
Gervais SD 1,Marion,1376,40,92,76.0,9,76,5,0,80,,77.0,71.0,78.0,69.0,0.0,0.003633720930232558,0.05813953488372093,0.006540697674418605,60,8
Silver Falls SD 4J,Marion,3974,81,95,92.0,16,82,12,3,211,,87.0,93.0,90.0,86.0,0.000754906894816306,0.003019627579265224,0.053095118268746855,0.004026170105686965,19,5
Cascade SD 5,Marion,2517,76,94,86.0,12,79,7,1,130,,95.0,83.0,75.0,71.0,0.0003972983710766786,0.0027810885975367503,0.05164878823996821,0.004767580452920143,24,6
Jefferson SD 14J,Marion,826,69,98,95.0,6,83,2,0,46,,95.0,95.0,95.0,91.0,0.0,0.002421307506053269,0.05569007263922518,0.007263922518159807,31,2
North Marion SD 15,Marion,1857,45,96,85.0,9,74,8,0,103,,82.0,86.0,84.0,68.0,0.0,0.004308023694130318,0.05546580506192784,0.004846526655896607,55,4
Salem-Keizer SD 24J,Marion,41770,46,87,79.0,112,78,119,7,2027,70.0,76.0,81.0,75.0,63.0,0.00016758439071103663,0.0028489346420876227,0.04852765142446732,0.002681350251376586,54,13
North Santiam SD 29J,Marion,2283,75,97,79.0,9,77,4,0,120,,76.0,81.0,72.0,61.0,0.0,0.0017520805957074025,0.052562417871222074,0.003942181340341655,25,3
St Paul SD 45,Marion,290,63,96,95.0,2,82,0,0,21,,,95.0,,,0.0,0.0,0.07241379310344828,0.006896551724137931,37,4
Mt Angel SD 91,Marion,728,53,91,79.0,5,77,3,0,46,,76.0,91.0,76.0,,0.0,0.004120879120879121,0.06318681318681318,0.006868131868131868,47,9
Woodburn SD 103,Marion,5628,15,63,89.0,19,68,18,7,305,,89.0,87.0,90.0,74.0,0.0012437810945273632,0.0031982942430703624,0.054193319118692254,0.0033759772565742714,85,37
Morrow SD 1,Morrow,2290,40,93,88.0,13,75,4,0,135,,89.0,91.0,85.0,67.0,0.0,0.0017467248908296944,0.05895196506550218,0.005676855895196507,60,7
Portland SD 1J,Multnomah,48559,57,79,81.0,180,80,242,62,2750,73.0,72.0,84.0,73.0,64.0,0.0012767972981321692,0.004983628163677176,0.05663213822360427,0.003706830865545007,43,21
Parkrose SD 3,Multnomah,3068,32,90,81.0,12,76,10,1,147,82.0,80.0,75.0,82.0,48.0,0.0003259452411994785,0.003259452411994785,0.04791395045632334,0.003911342894393742,68,10
Reynolds SD 7,Multnomah,10940,31,92,70.0,41,85,39,5,573,49.0,67.0,73.0,69.0,49.0,0.0004570383912248629,0.0035648994515539304,0.05237659963436929,0.003747714808043876,69,8
Gresham-Barlow SD 10J,Multnomah,11979,56,90,74.0,46,84,28,2,532,70.0,70.0,76.0,68.0,48.0,0.00016695884464479506,0.0023374238250271307,0.04441105267551548,0.0038400534268302863,44,10
Centennial SD 28J,Multnomah,6099,41,88,71.0,21,86,18,1,295,68.0,62.0,75.0,67.0,47.0,0.00016396130513198886,0.002951303492375799,0.04836858501393671,0.003443187407771766,59,12
Corbett SD 39,Multnomah,1188,80,97,90.0,5,83,0,0,55,,,94.0,78.0,92.0,0.0,0.0,0.046296296296296294,0.004208754208754209,20,3
David Douglas SD 40,Multnomah,9719,36,89,79.0,31,82,25,0,514,76.0,73.0,80.0,77.0,63.0,0.0,0.0025722810988784853,0.05288609939294166,0.003189628562609322,64,11
Riverdale SD 51J,Multnomah,648,80,94,93.0,3,81,2,2,39,,,93.0,,82.0,0.0030864197530864196,0.0030864197530864196,0.06018518518518518,0.004629629629629629,20,6
Dallas SD 2,Polk,3234,80,98,83.0,12,76,6,2,165,,75.0,84.0,77.0,81.0,0.0006184291898577613,0.0018552875695732839,0.05102040816326531,0.0037105751391465678,20,2
Central SD 13J,Polk,3313,50,94,81.0,11,84,5,0,158,,80.0,82.0,75.0,66.0,0.0,0.001509206157561123,0.04769091457893148,0.0033202535466344703,50,6
Perrydale SD 21,Polk,316,91,95,86.0,3,78,0,0,18,,,83.0,,,0.0,0.0,0.056962025316455694,0.00949367088607595,9,5
Falls City SD 57,Polk,190,87,86,56.0,2,56,1,0,18,,,52.0,58.0,,0.0,0.005263157894736842,0.09473684210526316,0.010526315789473684,13,14
Sherman County SD,Sherman,267,83,96,84.0,2,73,1,0,20,,,83.0,70.0,,0.0,0.003745318352059925,0.0749063670411985,0.00749063670411985,17,4
Tillamook SD 9,Tillamook,2259,64,90,87.0,8,74,7,0,120,,85.0,88.0,82.0,82.0,0.0,0.003098716246126605,0.05312084993359894,0.0035413899955732625,36,10
Neah-Kah-Nie SD 56,Tillamook,806,78,88,91.0,6,83,4,1,50,,,92.0,87.0,,0.0012406947890818859,0.004962779156327543,0.062034739454094295,0.007444168734491315,22,12
Nestucca Valley SD 101J,Tillamook,490,70,90,89.0,4,77,0,0,29,,,89.0,89.0,,0.0,0.0,0.05918367346938776,0.00816326530612245,30,10
Helix SD 1,Umatilla,183,85,94,94.0,1,88,0,0,15,,,93.0,,,0.0,0.0,0.08196721311475409,0.00546448087431694,15,6
Pilot Rock SD 2,Umatilla,303,84,95,75.0,2,76,0,0,17,,,82.0,72.0,,0.0,0.0,0.056105610561056105,0.006600660066006601,16,5
Echo SD 5,Umatilla,280,81,90,87.0,4,85,1,0,18,,,88.0,95.0,,0.0,0.0035714285714285713,0.06428571428571428,0.014285714285714285,19,10
Umatilla SD 6R,Umatilla,1425,26,86,87.0,7,60,4,0,81,,85.0,91.0,87.0,83.0,0.0,0.002807017543859649,0.056842105263157895,0.004912280701754386,74,14
Milton-Freewater Unified SD 7,Umatilla,1671,37,87,80.0,10,67,2,1,106,,83.0,73.0,86.0,33.0,0.0005984440454817474,0.0011968880909634949,0.06343506882106523,0.005984440454817474,63,13
Hermiston SD 8,Umatilla,5740,41,90,74.0,17,71,14,1,298,,76.0,72.0,69.0,53.0,0.00017421602787456446,0.0024390243902439024,0.05191637630662021,0.002961672473867596,59,10
Pendleton SD 16,Umatilla,3117,64,94,80.0,11,75,9,1,154,,81.0,80.0,71.0,63.0,0.0003208213025344883,0.0028873917228103944,0.0494064805903112,0.003529034327879371,36,6
Athena-Weston SD 29RJ,Umatilla,584,76,91,88.0,3,81,1,0,37,,,93.0,92.0,95.0,0.0,0.0017123287671232876,0.06335616438356165,0.005136986301369863,24,9
Stanfield SD 61,Umatilla,527,48,90,94.0,3,67,1,0,28,,92.0,95.0,95.0,,0.0,0.0018975332068311196,0.05313092979127135,0.0056925996204933585,52,10
Ukiah SD 80R,Umatilla,29,79,100,,1,100,0,0,5,,,,,,0.0,0.0,0.1724137931034483,0.034482758620689655,21,0
La Grande SD 1,Union,2348,81,95,80.0,11,74,7,2,124,,80.0,84.0,81.0,48.0,0.0008517887563884157,0.002981260647359455,0.05281090289608177,0.004684838160136286,19,5
Union SD 5,Union,373,91,96,91.0,2,73,0,0,23,,,94.0,84.0,,0.0,0.0,0.06166219839142091,0.005361930294906166,9,4
North Powder SD 8J,Union,266,84,100,95.0,2,84,0,0,24,,,95.0,95.0,,0.0,0.0,0.09022556390977443,0.007518796992481203,16,0
Imbler SD 11,Union,290,90,96,95.0,2,91,0,0,21,,,95.0,,,0.0,0.0,0.07241379310344828,0.006896551724137931,10,4
Cove SD 15,Union,291,89,100,93.0,2,95,0,0,19,,,92.0,95.0,,0.0,0.0,0.06529209621993128,0.006872852233676976,11,0
Elgin SD 23,Union,403,91,91,75.0,2,8,0,0,30,,,78.0,62.0,,0.0,0.0,0.07444168734491315,0.004962779156327543,9,9
Joseph SD 6,Wallowa,264,89,95,95.0,2,94,0,0,20,,,95.0,,,0.0,0.0,0.07575757575757576,0.007575757575757576,11,5
Wallowa SD 12,Wallowa,191,90,100,95.0,2,81,0,0,19,,,95.0,95.0,,0.0,0.0,0.09947643979057591,0.010471204188481676,10,0
Enterprise SD 21,Wallowa,406,91,100,90.0,2,81,0,0,28,,,91.0,90.0,,0.0,0.0,0.06896551724137931,0.0049261083743842365,9,0
Troy SD 54,Wallowa,3,33,100,,1,100,0,0,1,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,67,0
South Wasco County SD 1,Wasco,226,77,100,77.0,2,94,0,0,15,,,86.0,81.0,,0.0,0.0,0.06637168141592921,0.008849557522123894,23,0
Dufur SD 29,Wasco,342,77,92,87.0,2,83,1,0,24,,,91.0,87.0,,0.0,0.0029239766081871343,0.07017543859649122,0.005847953216374269,23,8
